Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
60,Building Fractions Using the Number Line,,Learning to build fractions using the number line in Grade 3 reinforces the understanding of fractions and their relationships. Students will construct fractions by marking points on the number line,Learn to build fractions using the number line,publish,Fractions and Unit Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/IVnKFBUibFU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
61,Equivalent Fractions Using Visual Models,,Understanding equivalent fractions through visual models in Grade 3 enhances comprehension of fraction equivalence. Students will explore how different fractions represent the same part of a whole,Understand equivalent fractions through visual models,publish,Equivalent Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/dapxK7j-b9g"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
62,Equivalent Fractions Using the Number Line,,Learning to identify equivalent fractions on a number line in Grade 3 reinforces the understanding of fraction relationships. Students will visualize how equivalent fractions are positioned on the number line,Learn to identify equivalent fractions on a number line,publish,Equivalent Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/zQqfPwWuv7w"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
63,Generating Equivalent Fractions Using Area Models,,Exploring how to generate equivalent fractions using area models in Grade 3 enhances visual understanding of fractions. Students will utilize area models to construct equivalent fractions,Explore how to generate equivalent fractions using area models,publish,Equivalent Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/gt0ptnCSPms"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
64,Generating Equivalent Fractions Using the Number Line,,Learning to generate equivalent fractions using the number line in Grade 3 reinforces the understanding of fraction equivalence. Students will create equivalent fractions by marking points on the number line,Learn to generate equivalent fractions using the number line,publish,Equivalent Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/wXXoggs_YyE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
65,Writing Wholes as Fractions,,Understanding how to express whole numbers as fractions in Grade 3 enhances comprehension of fractions and their representations. Students will learn to represent whole numbers as fractions,Understand how to express whole numbers as fractions,publish,Wholes as Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Cqnw2ZXHckk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
66,Expressing Whole Numbers as Fractions Using Visual Models,,Learning to express whole numbers as fractions using visual models in Grade 3 reinforces the understanding of fractions. Students will utilize visual models to represent whole numbers as fractions,Learn to express whole numbers as fractions using visual models,publish,Wholes as Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Qtthsu1zxec"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
67,Expressing Whole Numbers as Fractions Using the Number Line,,Exploring how to express whole numbers as fractions on the number line in Grade 3 reinforces the understanding of fractions. Students will utilize the number line to represent whole numbers as fractions,Explore how to express whole numbers as fractions on the number line,publish,Wholes as Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/7J3zIoQ7SAc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
68,Comparing Fractions Using Area Models,,Learning to compare fractions using area models in Grade 3 reinforces the understanding of fraction relationships. Students will utilize area models to visually compare fractions,Learn to compare fractions using area models,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/_zbN6QY9fc0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
69,Comparing Fractions Using the Number Line,,Understanding how to compare fractions on a number line in Grade 3 enhances comprehension of fraction sizes. Students will utilize the number line to compare fractions,Understand how to compare fractions on a number line,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/KFxIXPSp6xg"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
70,Comparing Fractions with Equal Denominators,,Learning to compare fractions with equal denominators in Grade 3 reinforces the understanding of fraction relationships. Students will explore how to compare fractions with the same denominator,Learn to compare fractions with equal denominators,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mPrL4msjEnY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
71,Comparing Fractions with Equal Numerators on the Number Line,,Exploring how to compare fractions with equal numerators on the number line in Grade 3 enhances understanding of fraction sizes. Students will utilize the number line to compare fractions with the same numerator,Explore how to compare fractions with equal numerators on the number line,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HoJfypsIkao"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
72,Measuring Mass Using Units of Kilogram,,Learning to measure mass using kilograms in Grade 3 reinforces the understanding of weight and measurement. Students will explore how to use kilograms as a standard unit of measurement for mass,Learn to measure mass using kilograms,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Du-qEdxPC5Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
73,Measuring Mass Using Units of Gram,,Understanding how to measure mass using grams in Grade 3 enhances skills in weight measurement. Students will learn to use grams as a metric unit of measurement for mass,Understand how to measure mass using grams,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/GNcA-bD7F68"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
74,Measuring Liquid Volume Using Units of Liter,,Learning to measure liquid volume using liters in Grade 3 reinforces the understanding of volume measurement. Students will explore how to use liters as a standard unit of measurement for liquid volume,Learn to measure liquid volume using liters,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/CrFYdnWXgFE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
75,Estimating by Adding Whole Measurements of Weight,,Exploring estimation techniques for adding whole measurements of weight in Grade 3 enhances problem-solving skills. Students will learn to estimate the total weight of several objects by adding their approximate weights,Explore estimation techniques for adding whole measurements of weight,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/KccTZToKcSA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
76,Subtracting Whole Measurements of Weight,,Learning to subtract whole measurements of weight in Grade 3 reinforces skills in weight measurement and subtraction. Students will explore how to subtract the weight of several objects,Learn to subtract whole measurements of weight,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/qkzYluMUKB8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
77,Solving Mass Measurements Word Problems with Unit Fractions,,Applying unit fractions to solve word problems involving mass measurements in Grade 3 enhances problem-solving skills. Students will learn to use unit fractions to solve problems involving mass,Apply unit fractions to solve word problems involving mass measurements,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/B1GF5KGgSY8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
78,Multiplying Whole Measurements of Mass,,Learning to multiply whole measurements of mass in Grade 3 reinforces multiplication skills in real-world contexts. Students will explore how to multiply weights,Learn to multiply whole measurements of mass,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Zcr7xdTP0oE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
79,Dividing Whole Measurements of Liquid Volume Using Groups,,Exploring division of whole measurements of liquid volume using groups in Grade 3 enhances understanding of division in practical scenarios. Students will learn to divide liquid volumes into equal parts using grouping strategies,Explore division of whole measurements of liquid volume using groups,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/TFnIEOks9EM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
80,Dividing Whole Measurements of Liquid Volume Solving for an Unknown,,Learning to solve for unknowns in division problems involving liquid volume in Grade 3 reinforces division skills. Students will explore how to find the unknown value in a division problem involving liquid volume,Learn to solve for unknowns in division problems involving liquid volume,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/7SuS00a4Bng"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
81,Multiplying Whole Measurements of Volume,,Understanding how to multiply whole measurements of volume in Grade 3 enhances multiplication skills in real-world applications. Students will learn to multiply volumes of different objects,Understand how to multiply whole measurements of volume,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/8-34q0tNmUs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
82,Representing Data by Drawing Pictographs,,Learning to represent data visually by drawing pictographs in Grade 3 enhances data interpretation skills. Students will create pictographs to visually represent data,Learn to represent data visually by drawing pictographs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mSk5MnkHJao"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
83,Representing Data by Creating Bar Graph,,Exploring how to create bar graphs to represent data in Grade 3 reinforces skills in data visualization. Students will construct bar graphs to visually represent data,Explore how to create bar graphs to represent data,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ReW4MPqXTvA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
84,Drawing Detailed Bar Graphs,,Learning to draw detailed bar graphs in Grade 3 enhances skills in data representation and analysis. Students will create bar graphs with detailed data representations,Learn to draw detailed bar graphs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/qzEaaSnWIUA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
85,Reading Data in Bar Graphs Drawn on a Grid,,Understanding how to read data in bar graphs drawn on a grid in Grade 3 reinforces data interpretation skills. Students will learn to extract information from bar graphs drawn on a grid,Understand how to read data in bar graphs drawn on a grid,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/3j6onkcBjyQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
86,Reading Data in Bar Graphs,,Learning to read and interpret data in bar graphs in Grade 3 enhances skills in data analysis. Students will explore how to analyze and interpret bar graphs,Learn to read and interpret data in bar graphs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/nGDYjEJCHUM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
87,Squares and Rectangles,,Exploring the properties of squares and rectangles in Grade 3 enhances understanding of geometric shapes. Students will learn the unique properties of squares and rectangles,Explore the properties of squares and rectangles,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZDSlmq9N5k4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
88,Squares and Rhombi,,Learning about the properties of squares and rhombi in Grade 3 reinforces understanding of geometric relationships. Students will explore the similarities and differences between squares and rhombi,Learn about the properties of squares and rhombi,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/NfFVjPivAc8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
89,Quadrilaterals,,Understanding the properties of quadrilaterals in Grade 3 enhances knowledge of various geometric shapes. Students will explore the unique characteristics of quadrilaterals,Understand the properties of quadrilaterals,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/_cVhFLA_p74"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
90,Breaking Shapes into Equal Parts,,Learning to break shapes into equal parts in Grade 3 reinforces understanding of fractions and division in geometry. Students will explore how to divide geometric shapes into equal parts,Learn to break shapes into equal parts,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/M3isJ0IQUpY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
91,Drawing and Reading Simple Line Plots,,Exploring how to draw and read simple line plots in Grade 3 enhances skills in data representation. Students will create line plots to visually represent data,Explore how to draw and read simple line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/yPVOdQ0CdEs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
92,Organizing Fractional Length Measurement Data,,Learning to organize fractional length measurement data using line plots in Grade 3 reinforces data analysis skills. Students will utilize line plots to organize and analyze data involving fractional lengths,Learn to organize fractional length measurement data using line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZBA_uSBsFd0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
93,Representing Fractional Length Measurements with Line Plots,,Understanding how to represent fractional length measurements using line plots in Grade 3 enhances skills in data visualization. Students will create line plots to visually represent data involving fractions,Understand how to represent fractional length measurements using line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MwsO_9Se1sc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
94,Unit Squares for Measuring Area of Figures,,Learning to use unit squares to measure the area of figures in Grade 3 reinforces the understanding of area concepts. Students will utilize unit squares to calculate the area of various figures,Learn to use unit squares to measure the area of figures,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/M0mlojwL9vA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
95,Finding Area of Rectangular Shapes Using Unit Squares,,Exploring how to find the area of rectangular shapes using unit squares in Grade 3 enhances area calculation skills. Students will utilize unit squares to calculate the area of rectangles,Explore how to find the area of rectangular shapes using unit squares,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/yUAcdMb0eoA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
96,Measuring Areas by Counting Unit Squares,,Learning to measure areas by counting unit squares in Grade 3 reinforces the understanding of area measurement. Students will count unit squares to determine the area of different figures,Learn to measure areas by counting unit squares,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/9kdIFbiOj2I"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
97,Finding the Area of a Rectangle Using the Area Formula,,Understanding how to find the area of a rectangle using the area formula in Grade 3 enhances skills in area calculations. Students will learn to calculate the area of rectangles using the formula,Understand how to find the area of a rectangle using the area formula,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/fsF-Pex_kKQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
98,Finding the Unknown Sides' Lengths,,Learning to find unknown side lengths of plane figures in Grade 3 reinforces skills in geometry and measurement. Students will explore how to determine unknown side lengths of different plane figures,Learn to find unknown side lengths of plane figures,publish,Finding Sides' Lengths of Plane Figures,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/v85BIKIBsLs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
99,Using Perimeter to Find the Sides' Lengths,,Exploring how to use perimeter to find the lengths of sides in plane figures in Grade 3 enhances understanding of geometric properties. Students will utilize the perimeter to determine the lengths of sides in different plane figures,Explore how to use perimeter to find the lengths of sides in plane figures,publish,Finding Sides' Lengths of Plane Figures,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/v1sUeody7ik"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
100,Finding Areas of Rectangles by Multiplying Side lengths in Word Problems,,Learning to find areas of rectangles by multiplying side lengths in word problems in Grade 3 reinforces the application of area concepts. Students will apply their understanding of area to solve word problems involving rectangles,Learn to find areas of rectangles by multiplying side lengths in word problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/TRXMV7y1rPk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
101,Finding Areas of Figures by Decomposing them into Rectangles in Word Problems,,Exploring how to find areas of complex figures by decomposing them into rectangles in word problems in Grade 3 enhances problem-solving skills. Students will learn to break down complex figures into simpler rectangles to calculate their areas,Explore how to find areas of complex figures by decomposing them into rectangles in word problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/sy5_sZkKxvk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
102,The Perimeter in Real-World Problems,,Learning to calculate perimeter in real-world problems in Grade 3 reinforces the understanding of perimeter concepts. Students will apply their knowledge of perimeter to solve practical problems,Learn to calculate perimeter in real-world problems,publish,Area and Perimeter in Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/-j04wR5hAtk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
103,The Perimeter of Plane Figures,,Understanding how to calculate the perimeter of plane figures in Grade 3 enhances skills in measurement and geometry. Students will learn to calculate the perimeter of different plane figures,Understand how to calculate the perimeter of plane figures,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/RILMSVYQuHc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
104,Measuring the Perimeter of Plane Figures Using a Grid,,Learning to measure the perimeter of plane figures using a grid in Grade 3 reinforces the understanding of perimeter measurement. Students will utilize grids to measure the perimeter of plane figures,Learn to measure the perimeter of plane figures using a grid,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/-GQr-2MvHDU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
105,Geometric Properties to Find the Perimeter of Plane Figures,,Exploring geometric properties to find the perimeter of plane figures in Grade 3 enhances understanding of perimeter concepts. Students will utilize geometric properties such as parallel sides and equal angles to calculate the perimeter of different plane figures,Explore geometric properties to find the perimeter of plane figures,publish,Perimeter,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/rxxv8QHdONY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
