ConceptName	QuestionName	Question	AnswerText	Correct
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Five children want to share 45 balloons among themselves equally. How many balloons will each child get?</p>	<p>9</p>	yes
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Five children want to share 45 balloons among themselves equally. How many balloons will each child get?</p>	<p>7</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>37</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>9</p>	yes
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>7</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>11</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>72</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>6</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>4</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>8</p>	yes
Use division to solve word problems involving dividing objects equally into groups.	Q1	"<p>Mike and Tom each have the same amount of sugar.</p>
<p>&bull; Mike has 3 containers of sugar each has 6 kilograms.</p>
<p>&bull; Tom divided the total amount of sugar he has equally into 2 containers.</p>
<p>How many kilograms of sugar will be in each of the containers Tom divided to?</p>"	<p>6</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	"<p>Mike and Tom each have the same amount of sugar.</p>
<p>&bull; Mike has 3 containers of sugar each has 6 kilograms.</p>
<p>&bull; Tom divided the total amount of sugar he has equally into 2 containers.</p>
<p>How many kilograms of sugar will be in each of the containers Tom divided to?</p>"	<p>2</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	"<p>Mike and Tom each have the same amount of sugar.</p>
<p>&bull; Mike has 3 containers of sugar each has 6 kilograms.</p>
<p>&bull; Tom divided the total amount of sugar he has equally into 2 containers.</p>
<p>How many kilograms of sugar will be in each of the containers Tom divided to?</p>"	<p>18</p>	
Use division to solve word problems involving dividing objects equally into groups.	Q1	"<p>Mike and Tom each have the same amount of sugar.</p>
<p>&bull; Mike has 3 containers of sugar each has 6 kilograms.</p>
<p>&bull; Tom divided the total amount of sugar he has equally into 2 containers.</p>
<p>How many kilograms of sugar will be in each of the containers Tom divided to?</p>"	<p>9</p>	yes
Use division to solve word problems using arrays.	Q1	<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>	<p>6</p>	
Use division to solve word problems using arrays.	Q1	<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>	<p>1</p>	
Use division to solve word problems using arrays.	Q1	<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>	<p>4</p>	yes
Use division to solve word problems using arrays.	Q1	<p>A mother made 40 cookies and she wants to divide them equally among 10 children. How many cookies will each child get?</p>	<p>10</p>	
Use division to solve word problems using arrays.	Q1	<p>A teacher wants to divide 50 stickers&nbsp;equally among 10 students. How many stickers will each student get?</p>	<p>25</p>	
Use division to solve word problems using arrays.	Q1	<p>A teacher wants to divide 50 stickers&nbsp;equally among 10 students. How many stickers will each student get?</p>	<p>10</p>	
Use division to solve word problems using arrays.	Q1	<p>A teacher wants to divide 50 stickers&nbsp;equally among 10 students. How many stickers will each student get?</p>	<p>5</p>	yes
Use division to solve word problems using arrays.	Q1	<p>A teacher wants to divide 50 stickers&nbsp;equally among 10 students. How many stickers will each student get?</p>	<p>2</p>	
Use division to solve word problems using arrays.	Q1	<p>If we want to place 36 eggs equally into 6 cartons, how many eggs can we put in each carton?</p>	<p>6</p>	yes
Use division to solve word problems using arrays.	Q1	<p>If we want to place 36 eggs equally into 6 cartons, how many eggs can we put in each carton?</p>	<p>10</p>	
Use division to solve word problems using arrays.	Q1	<p>If we want to place 36 eggs equally into 6 cartons, how many eggs can we put in each carton?</p>	<p>7</p>	
Use division to solve word problems using arrays.	Q1	<p>If we want to place 36 eggs equally into 6 cartons, how many eggs can we put in each carton?</p>	<p>5</p>	
Use division to solve word problems using arrays.	Q1	<p>A class contains 30 seats. If there are 5 rows of seats in the class and each row has the same number of seats, how many seats are in each row?</p>	<p>10</p>	
Use division to solve word problems using arrays.	Q1	<p>A class contains 30 seats. If there are 5 rows of seats in the class and each row has the same number of seats, how many seats are in each row?</p>	<p>7</p>	
Use division to solve word problems using arrays.	Q1	<p>A class contains 30 seats. If there are 5 rows of seats in the class and each row has the same number of seats, how many seats are in each row?</p>	<p>5</p>	
Use division to solve word problems using arrays.	Q1	<p>A class contains 30 seats. If there are 5 rows of seats in the class and each row has the same number of seats, how many seats are in each row?</p>	<p>6</p>	yes
Use division to solve word problems using arrays.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>37</p>	
Use division to solve word problems using arrays.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>9</p>	yes
Use division to solve word problems using arrays.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>7</p>	
Use division to solve word problems using arrays.	Q1	<p>A car dealer has 23 red cars, 12 blue cars and 10 black cars. He wants to park the cars in 5 rows where each row has the same number of cars. How many cars will be in one row?</p>	<p>11</p>	
Use division to solve word problems using arrays.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>72</p>	
Use division to solve word problems using arrays.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>6</p>	
Use division to solve word problems using arrays.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>4</p>	
Use division to solve word problems using arrays.	Q1	<p>Paul has 35 red marbles, 18 yellow marbles and 19 blue marbles. He wants to put them equally in 9 small jars. How many marbles will be in each jar?</p>	<p>8</p>	yes
The multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>5</p>	
The multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>10</p>	
The multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>15</p>	yes
The multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>9</p>	
The multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>6 &times; 5</p>	yes
The multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>3 &times; 5</p>	
The multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>6 &times; 1</p>	
The multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>3 &times; 0</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences <span style="color: #993300;">is not</span> true?</p>	<p>9 &times; 8 = 72</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences <span style="color: #993300;">is not</span> true?</p>	<p>5 &times; 60 = 300</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences <span style="color: #993300;">is not</span> true?</p>	<p>8 &times; 8 = 62</p>	yes
The multiplication table.	Q1	<p>Which of the following multiplication sentences <span style="color: #993300;">is not</span> true?</p>	<p>9 &times; 5 = 45</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>6 &times; 8 = 48</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>4 &times; 20 = 80</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>7 &times; 6 = 49</p>	yes
The multiplication table.	Q2	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>3 &times; 8 = 24</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>11 &times; 4 = 44</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>5 &times; 70 = 350</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>7 &times; 4 = 30</p>	yes
The multiplication table.	Q3	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>7 &times; 2 = 14</p>	
The multiplication table.	Q4	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>20 &times; 5 = 100</p>	
The multiplication table.	Q4	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>5 &times; 8 = 40</p>	
The multiplication table.	Q4	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>3 &times; 3 = 6</p>	yes
The multiplication table.	Q4	<p>Which of the following multiplication sentences is <span style="text-decoration: underline;">not true</span>?</p>	<p>4 &times; 9 = 36</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences is true?</p>	<p>9 &times; 8 = 73</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences is true?</p>	<p>80 &times; 6 = 560</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences is true?</p>	<p>9 &times; 7 = 62</p>	
The multiplication table.	Q1	<p>Which of the following multiplication sentences is true?</p>	<p>7 &times; 4 = 28</p>	yes
The multiplication table.	Q2	<p>Which of the following multiplication sentences is true?</p>	<p>7 &times; 8 = 65</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is true?</p>	<p>20 &times; 7 = 150</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is true?</p>	<p>5 &times; 6 = 35</p>	
The multiplication table.	Q2	<p>Which of the following multiplication sentences is true?</p>	<p>7 &times; 6 = 42</p>	yes
The multiplication table.	Q3	<p>Which of the following multiplication sentences is true?</p>	<p>4 &times; 7 = 27</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is true?</p>	<p>30 &times; 4 = 130</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is true?</p>	<p>9 &times; 6 = 45</p>	
The multiplication table.	Q3	<p>Which of the following multiplication sentences is true?</p>	<p>8 &times; 6 = 48</p>	yes
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>5</p>	
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>10</p>	
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>15</p>	yes
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>3 &times; 5 =</p>	<p>9</p>	
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>6 &times; 5</p>	yes
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>3 &times; 5</p>	
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>6 &times; 1</p>	
Find the unknown whole product in a multiplication equation using the multiplication table.	Q1	<p>30 is&nbsp;equal to:</p>	<p>3 &times; 0</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 28 &times; 8</p>"	<p>4 , 7</p>	yes
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 28 &times; 8</p>"	<p>5, 2</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 28 &times; 8</p>"	<p>8, 3</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of whole numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 28 &times; 8</p>"	<p>1, 6</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells pencils in packages of 4. Tom bought enough packages to have 28 pencils. The equation below can be used to determine the number of packages Tom bought.</p>
<p>4 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 28</p>
<p>What is the total number of packages that Tom bought?</p>"	<p>6</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells pencils in packages of 4. Tom bought enough packages to have 28 pencils. The equation below can be used to determine the number of packages Tom bought.</p>
<p>4 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 28</p>
<p>What is the total number of packages that Tom bought?</p>"	<p>7</p>	yes
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells pencils in packages of 4. Tom bought enough packages to have 28 pencils. The equation below can be used to determine the number of packages Tom bought.</p>
<p>4 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 28</p>
<p>What is the total number of packages that Tom bought?</p>"	<p>24</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells pencils in packages of 4. Tom bought enough packages to have 28 pencils. The equation below can be used to determine the number of packages Tom bought.</p>
<p>4 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 28</p>
<p>What is the total number of packages that Tom bought?</p>"	<p>32</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells crayons in cases of 6. Molly bought enough cases to have 48 crayons. The equation below can be used to determine the number of cases Molly bought.</p>
<p>6 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 48</p>
<p>What is the total number of cases that Molly bought?</p>"	<p>7</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells crayons in cases of 6. Molly bought enough cases to have 48 crayons. The equation below can be used to determine the number of cases Molly bought.</p>
<p>6 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 48</p>
<p>What is the total number of cases that Molly bought?</p>"	<p>8</p>	yes
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells crayons in cases of 6. Molly bought enough cases to have 48 crayons. The equation below can be used to determine the number of cases Molly bought.</p>
<p>6 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 48</p>
<p>What is the total number of cases that Molly bought?</p>"	<p>42</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>A store sells crayons in cases of 6. Molly bought enough cases to have 48 crayons. The equation below can be used to determine the number of cases Molly bought.</p>
<p>6 &times;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;?&nbsp; &nbsp;</span> =&nbsp; 48</p>
<p>What is the total number of cases that Molly bought?</p>"	<p>54</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 36 &times; 8</p>"	<p>3 , 2</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 36 &times; 8</p>"	<p>16, 6</p>	
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 36 &times; 8</p>"	<p>4, 9</p>	yes
Find the unknown factor in a multiplication equation using the multiplication table.	Q1	"<p>Choose the pair of numbers that will make the following number sentence true.</p>
<p>8 &times; (___ &times; ___) = 36 &times; 8</p>"	<p>3, 6</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>	<p>? &divide; 9 = 72</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>	<p>72 &times; ? = 9</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>	<p>9 &divide; 72 = ?</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>	<p>? &times; 9 = 72</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	"<p>Choose the whole number that will make the following number sentence true.</p>
<p>(20 &times; 3) &divide; ___ = 6</p>"	<p>8</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>Choose the whole number that will make the following number sentence true.</p>
<p>(20 &times; 3) &divide; ___ = 6</p>"	<p>9</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>Choose the whole number that will make the following number sentence true.</p>
<p>(20 &times; 3) &divide; ___ = 6</p>"	<p>10</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	"<p>Choose the whole number that will make the following number sentence true.</p>
<p>(20 &times; 3) &divide; ___ = 6</p>"	<p>11</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What number sentence is another way to represent the missing number in the equation below?<br />72 &divide; 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	<p>72 &times; 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What number sentence is another way to represent the missing number in the equation below?<br />72 &divide; 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	<p><img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /> &times; 8 = 72</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	<p>What number sentence is another way to represent the missing number in the equation below?<br />72 &divide; 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	<p>72 + 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What number sentence is another way to represent the missing number in the equation below?<br />72 &divide; 8 = <img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /></p>	<p><img title="box-out-line-20" src="https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png" /> &divide; 8 = 72</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>In which equation could the number (6) replace "?" to make the equation true?</p>	<p>9 &times;&nbsp;<span style="text-decoration: underline;"> &nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span> = 56</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>In which equation could the number (6) replace "?" to make the equation true?</p>	<p>48 &divide;&nbsp;<span style="text-decoration: underline;"> &nbsp; &nbsp;?&nbsp; &nbsp;</span> = 8</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	<p>In which equation could the number (6) replace "?" to make the equation true?</p>	<p>30 &times; 5&nbsp; =&nbsp;<span style="text-decoration: underline;">&nbsp; &nbsp; ?&nbsp; &nbsp;&nbsp;</span></p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>In which equation could the number (6) replace "?" to make the equation true?</p>	<p>24 &divide; 3&nbsp; =&nbsp;<span style="text-decoration: underline;"> &nbsp; &nbsp;?&nbsp; &nbsp;&nbsp;</span></p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>81 &divide;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; &nbsp;</span> &nbsp;= 9</p>"	<p>8</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>81 &divide;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; &nbsp;</span> &nbsp;= 9</p>"	<p>9</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>81 &divide;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; &nbsp;</span> &nbsp;= 9</p>"	<p>72</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>81 &divide;&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp; &nbsp;</span> &nbsp;= 9</p>"	<p>90</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 8" true?</p>	<p>42</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 8" true?</p>	<p>49</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 8" true?</p>	<p>56</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 8" true?</p>	<p>63</p>	
Solve division problems using multiplication and the multiplication table.	Q3	<p>What is the unknown number that makes the equation "? &divide; 8 = 7" true?</p>	<p>42</p>	
Solve division problems using multiplication and the multiplication table.	Q3	<p>What is the unknown number that makes the equation "? &divide; 8 = 7" true?</p>	<p>49</p>	
Solve division problems using multiplication and the multiplication table.	Q3	<p>What is the unknown number that makes the equation "? &divide; 8 = 7" true?</p>	<p>56</p>	yes
Solve division problems using multiplication and the multiplication table.	Q3	<p>What is the unknown number that makes the equation "? &divide; 8 = 7" true?</p>	<p>63</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 9" true?</p>	<p>42</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 9" true?</p>	<p>49</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 9" true?</p>	<p>56</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>What is the unknown number that makes the equation "? &divide; 7 = 9" true?</p>	<p>63</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	<p>If you know that 16 &times; 6 = 96, then which of the following is true?</p>	<p>6 &times; 96 = 16</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>If you know that 16 &times; 6 = 96, then which of the following is true?</p>	<p>16 &divide; 96 = 6</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>If you know that 16 &times; 6 = 96, then which of the following is true?</p>	<p>&nbsp;96 &divide; 16 = 6</p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	<p>If you know that 16 &times; 6 = 96, then which of the following is true?</p>	<p>96 &divide; 16 = 16</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>Which of the following is the correct equation when the unknown number is replaced with 8?</p>	<p><span style="text-decoration: underline;">&nbsp;?&nbsp;</span> &times; 7 = 54</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>Which of the following is the correct equation when the unknown number is replaced with 8?</p>	<p>63 &divide;<span style="text-decoration: underline;"> ?&nbsp;</span> = 9</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>Which of the following is the correct equation when the unknown number is replaced with 8?</p>	<p>48 &times; 6 =<span style="text-decoration: underline;">&nbsp; ?&nbsp;</span> &nbsp;</p>	
Solve division problems using multiplication and the multiplication table.	Q1	<p>Which of the following is the correct equation when the unknown number is replaced with 8?</p>	<p>32 &divide; 4 =<span style="text-decoration: underline;">&nbsp; ?&nbsp;</span></p>	yes
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>(&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;</span> &nbsp;&divide; 10) &times; 8 = 48</p>"	<p>100</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>(&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;</span> &nbsp;&divide; 10) &times; 8 = 48</p>"	<p>6</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>(&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;</span> &nbsp;&divide; 10) &times; 8 = 48</p>"	<p>10</p>	
Solve division problems using multiplication and the multiplication table.	Q1	"<p>What number makes the equation below true?</p>
<p>(&nbsp;<span style=""text-decoration: underline;""> &nbsp; &nbsp;</span> &nbsp;&divide; 10) &times; 8 = 48</p>"	<p>60</p>	yes
Using the commutative property to find products.	Q1	<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>	<p>Commutative property</p>	yes
Using the commutative property to find products.	Q1	<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>	<p>Associative property</p>	
Using the commutative property to find products.	Q1	<p>Which property of multiplication is shown in the equation? <br /> &ldquo;465 &times; 611 = 611 &times; 465&rdquo;</p>	<p>Distributive property</p>	
Using the commutative property to find products.	Q1	<p>Which equation shows the commutative property of multiplication?</p>	<p>(12 &times; 43) &times; 48 = 12 &times; (43 &times; 48)</p>	
Using the commutative property to find products.	Q1	<p>Which equation shows the commutative property of multiplication?</p>	<p>214 &times; 9 = 9 &times; 214</p>	yes
Using the commutative property to find products.	Q1	<p>Which equation shows the commutative property of multiplication?</p>	<p>1,092 &times; (10 + 45) = 1,092 &times; 10 + 1,092 &times; 45</p>	
Using the commutative property to find products.	Q1	<p>Which equation shows the commutative property of multiplication?</p>	<p>762 = 56 &times; 12</p>	
Using the commutative property to find products.	Q1	<p>321 &times; 511 =</p>	<p>511 &times; 321</p>	yes
Using the commutative property to find products.	Q1	<p>321 &times; 511 =</p>	<p>321 + 511</p>	
Using the commutative property to find products.	Q1	<p>321 &times; 511 =</p>	<p>21 &times; 511</p>	
Using the commutative property to find products.	Q1	<p>321 &times; 511 =</p>	<p>321 &times; 51</p>	
Using the commutative property to find products.	Q1	<p>If 321 &times; 5 = 1,605 then 5 &times; 321 =</p>	<p>2,000</p>	
Using the commutative property to find products.	Q1	<p>If 321 &times; 5 = 1,605 then 5 &times; 321 =</p>	<p>1,605</p>	yes
Using the commutative property to find products.	Q1	<p>If 321 &times; 5 = 1,605 then 5 &times; 321 =</p>	<p>321</p>	
Using the commutative property to find products.	Q1	<p>If 321 &times; 5 = 1,605 then 5 &times; 321 =</p>	<p>326</p>	
