﻿Id,ConceptName,Question,AnswerText
59,Rounding numbers to the nearest 10.,<p>58 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>55</p>"
60,Rounding numbers to the nearest 10.,<p>25 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>25</p>,Wrong:<p>35</p>"
61,Rounding numbers to the nearest 10.,<p>55 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>65</p>,Wrong:<p>45</p>"
62,Rounding numbers to the nearest 100.,<p>133 rounded to the nearest hundred is:</p>,"Right:<p>400</p>,Wrong:<p>150</p>,Wrong:<p>200</p>,Wrong:<p>130</p>,Wrong:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>150</p>,Wrong:<p>300</p>,Wrong:<p>450</p>,Wrong:<p>360</p>,Wrong:<p>300</p>,Wrong:<p>420</p>,Wrong:<p>450</p>"
63,Rounding numbers to the nearest 100.,<p>551 rounded to the nearest hundred is:</p>,"Right:<p>500</p>,Wrong:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>550</p>,Wrong:<p>400</p>,Wrong:<p>510</p>,Wrong:<p>550</p>"
64,Rounding numbers to the nearest 100.,<p>871 rounded to the nearest hundred is:</p>,"Right:<p>300</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>270</p>,Wrong:<p>200</p>,Wrong:<p>330</p>,Wrong:<p>350</p>"
65,Rounding numbers to the nearest 100.,<p>497 rounded to the nearest hundred is:</p>,"Right:<p>700</p>,Wrong:<p>100</p>,Wrong:<p>90</p>,Wrong:<p>490</p>,Wrong:<p>600</p>,Wrong:<p>740</p>,Wrong:<p>750</p>"
66,Rounding numbers to the nearest 100.,<p>268 rounded to the nearest hundred is:</p>,"Right:<p>100</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>250</p>,Wrong:<p>110</p>,Wrong:<p>190</p>,Wrong:<p>150</p>"
67,Rounding numbers to the nearest 10 and 100.,<p>13 rounded to the nearest ten is:</p>,"Right:<p>196</p>,Wrong:<p>0</p>,Wrong:<p>20</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>15</p>,Wrong:<p>5</p>,Wrong:<p>150</p>,Wrong:<p>200</p>,Wrong:<p>130</p>,Wrong:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>150</p>,Wrong:<p>300</p>,Wrong:<p>450</p>,Wrong:<p>360</p>,Wrong:<p>300</p>,Wrong:<p>420</p>,Wrong:<p>450</p>,Wrong:<p>67</p>,Wrong:<p>88</p>,Wrong:<p>182</p>"
68,Rounding numbers to the nearest 10 and 100.,<p>28 rounded to the nearest ten is:</p>,"Right:<p>500</p>,Wrong:<p>10</p>,Wrong:<p>200</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>20</p>,Wrong:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>550</p>,Wrong:<p>400</p>,Wrong:<p>510</p>,Wrong:<p>550</p>"
69,Rounding numbers to the nearest 10 and 100.,<p>19 rounded to the nearest ten is:</p>,"Right:<p>300</p>,Wrong:<p>10</p>,Wrong:<p>90</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>50</p>,Wrong:<p>55</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>270</p>,Wrong:<p>200</p>,Wrong:<p>330</p>,Wrong:<p>350</p>"
70,Rounding numbers to the nearest 10 and 100.,<p>87 rounded to the nearest ten is:</p>,"Right:<p>700</p>,Wrong:<p>100</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>10</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>100</p>,Wrong:<p>90</p>,Wrong:<p>490</p>,Wrong:<p>600</p>,Wrong:<p>740</p>,Wrong:<p>750</p>"
71,Rounding numbers to the nearest 10 and 100.,<p>58 rounded to the nearest ten is:</p>,"Right:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>55</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>250</p>,Wrong:<p>110</p>,Wrong:<p>190</p>,Wrong:<p>150</p>"
72,Rounding numbers to the nearest 10 and 100.,<p>25 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>25</p>,Wrong:<p>35</p>"
73,Rounding numbers to the nearest 10 and 100.,<p>55 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>65</p>,Wrong:<p>45</p>"
74,Recognize estimation and estimate sums using rounding.,<p>The result of estimating the sum of 21 + 32 by rounding each number to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>40</p>,Wrong:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>40</p>,Wrong:<p>70</p>,Wrong:<p>50</p>,Wrong:<p>40</p>,Wrong:<p>60</p>,Wrong:<p>40</p>,Wrong:<p>50</p>,Wrong:<p>70</p>,Wrong:<p>40</p>,Wrong:<p>50</p>"
75,Recognize estimation and estimate sums using rounding.,<p>The most appropriate estimate of the result of 22 + 71 is:</p>,"Right:<p>40</p>,Wrong:<p>80</p>,Wrong:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>50</p>"
76,Recognize estimation and estimate sums using rounding.,<p>The most appropriate estimate of the result of 11 + 61 is:</p>,"Right:<p>80</p>,Wrong:<p>60</p>,Wrong:<p>80</p>,Wrong:<p>90</p>,Wrong:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>65</p>"
77,Recognize estimation and estimate sums using rounding.,<p>The most appropriate estimate of the result of 82 + 21 is:</p>,"Right:<p>90</p>,Wrong:<p>90</p>,Wrong:<p>80</p>,Wrong:<p>50</p>,Wrong:<p>70</p>,Wrong:<p>80</p>,Wrong:<p>60</p>"
78,Recognize estimation and estimate sums using rounding.,<p>The most appropriate estimate of the result of 51 + 32 is:</p>,"Right:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>30</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>90</p>,Wrong:<p>110</p>"
79,Solve word problems involving estimation of sums.,"<p>At the amusement park 36 people rode the roller coaster in the 1st round, 53 people in the 2nd round and 45 people in the 3rd round. What is the most reasonable estimate for the number of people who rode the coaster?</p>","Right:<p>130</p>,Wrong:<p>150</p>,Wrong:<p>120</p>,Wrong:<p>110</p>,Wrong:<p>140</p>,Wrong:<p>160</p>,Wrong:<p>150</p>"
80,Solve word problems involving estimation of sums.,"<p>At the amusement park 47 people rode the roller coaster in the 1st round, 32 people in the 2nd round and 53 people in the 3rd round. What is the most reasonable estimate for the number of people who rode the coaster?</p>","Right:<p>130</p>,Wrong:<p>150</p>,Wrong:<p>120</p>,Wrong:<p>100</p>"
81,Solve word problems involving estimation of sums.,"<p>At the amusement park 44 people rode the roller coaster in the 1st round, 58 people in the 2nd round and 61 people in the 3rd round. What is the most reasonable estimate for the number of people who rode the coaster?</p>","Right:<p>160</p>,Wrong:<p>150</p>,Wrong:<p>170</p>,Wrong:<p>180</p>"
82,Check for reasonableness of answers using rounding.,<p>The most reasonable estimate for the answer of 31 + 52 is:</p>,"Right:<p>29 + 13</p>,Wrong:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>90</p>,Wrong:<p>33 + 41</p>,Wrong:<p>29 + 42</p>,Wrong:<p>37 + 49</p>,Wrong:<p>11 +35</p>,Wrong:<p>22 + 27</p>,Wrong:<p>28 + 26</p>"
83,Check for reasonableness of answers using rounding.,<p>The most reasonable estimate for the answer of 42 + 21 is:</p>,"Right:<p>12 + 49</p>,Wrong:<p>70</p>,Wrong:<p>50</p>,Wrong:<p>90</p>,Wrong:<p>13 + 41</p>,Wrong:<p>19 + 48</p>,Wrong:<p>17 + 49</p>"
84,Check for reasonableness of answers using rounding.,<p>The most reasonable estimate for the answer of 22 + 31 is:</p>,"Right:<p>58 + 34</p>,Wrong:<p>60</p>,Wrong:<p>70</p>,Wrong:<p>40</p>,Wrong:<p>52 + 32</p>,Wrong:<p>57 + 39</p>,Wrong:<p>58 + 37</p>"
85,Check for reasonableness of answers using rounding.,<p>The most reasonable estimate for the answer of 62 + 43 is:</p>,"Right:<p>32 + 37</p>,Wrong:<p>120</p>,Wrong:<p>80</p>,Wrong:<p>90</p>,Wrong:<p>33 + 31</p>,Wrong:<p>38 + 38</p>,Wrong:<p>38 + 39</p>"
86,Check for reasonableness of answers using rounding.,<p>The most reasonable estimate for the answer of 33 + 21 is:</p>,"Right:<p>32 + 17</p>,Wrong:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>40</p>,Wrong:<p>33 + 11</p>,Wrong:<p>38 + 17</p>,Wrong:<p>37 + 19</p>"
87,Recognize estimation and estimate differences using rounding,<p>What is a good estimate of the difference between 83 and 51?</p>,"Right:<p>40</p>,Wrong:<p>10</p>,Wrong:<p>20</p>,Wrong:<p>40</p>,Wrong:<p>50</p>,Wrong:<p>100</p>,Wrong:<p>20</p>"
88,Addition properties.,<p>Which property of addition is shown in the equation: &ldquo;465 + 611 = 611 + 465&rdquo;?</p>,"Right:<p>476</p>,Wrong:<p>Identity property</p>,Wrong:<p>Associative property</p>,Wrong:<p>Commutative property of addition</p>,Wrong:<p>Identity property of addition</p>,Wrong:<p>Commutative property of addition</p>,Wrong:<p>Associative property of addition</p>,Wrong:<p>(12 + 43) + 48 = 12 + (43 + 48)</p>,Wrong:<p>1,092 + 0 = 1,092</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>(12 + 43) + 48 = 12 + (43 + 48)</p>,Wrong:<p>214 + 9 = 9 + 214</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>456 + 3,615</p>,Wrong:<p>615 + 456</p>,Wrong:<p>615 + 3,615</p>,Wrong:<p>(123 + 68) + 34</p>,Wrong:<p>(74 + 3) + 12</p>,Wrong:<p>44 + (68 + 68)</p>,Wrong:<p>0</p>,Wrong:<p>1000</p>,Wrong:<p>940</p>,Wrong:<p>770</p>,Wrong:<p>99</p>,Wrong:<p>780</p>,Wrong:<p>0</p>,Wrong:<p>1000</p>,Wrong:<p>940</p>,Wrong:<p>534 + 0</p>,Wrong:<p>580</p>,Wrong:<p>534 - 72</p>,Wrong:<p>829</p>,Wrong:<p>840</p>,Wrong:<p>790</p>,Wrong:<p>470</p>,Wrong:<p>0</p>,Wrong:<p>500</p>"
89,Addition properties.,<p>Which property of addition is shown in the equation: &ldquo;559 + 417 = 417 + 559&rdquo;?</p>,"Right:<p>791</p>,Wrong:<p>Identity property</p>,Wrong:<p>Associative property</p>,Wrong:<p>(70 + 11) + 65 = 11 + (70 + 65)</p>,Wrong:<p>89 + 14 = 14 + 89</p>,Wrong:<p>306 = 86 + 220</p>,Wrong:<p>7,943</p>,Wrong:<p>0</p>,Wrong:<p>7,940</p>,Wrong:<p>430</p>,Wrong:<p>837</p>,Wrong:<p>502</p>,Wrong:<p>634 + 0</p>,Wrong:<p>680</p>,Wrong:<p>634 - 72</p>,Wrong:<p>785</p>,Wrong:<p>840</p>,Wrong:<p>890</p>"
90,Addition properties.,<p>Which property of addition is shown in the equation: &ldquo;682 + 310 = 310 + 682&rdquo;?</p>,"Right:<p>1,803</p>,Wrong:<p>Identity property</p>,Wrong:<p>Associative property</p>,Wrong:<p>(10 + 541) + 48 = 541 + (10 + 48)</p>,Wrong:<p>5 + 32 = 32 + 5</p>,Wrong:<p>18 = 8 + 10</p>,Wrong:<p>180</p>,Wrong:<p>710</p>,Wrong:<p>182</p>,Wrong:<p>1,800</p>,Wrong:<p>1,830</p>,Wrong:<p>1,790</p>"
91,Addition properties.,<p>Which property of addition is shown in the equation: &ldquo;157 + 398 = 398 + 157&rdquo;?</p>,"Right:<p>286</p>,Wrong:<p>Identity property</p>,Wrong:<p>Associative property</p>,Wrong:<p>(18 + 361) + 5 = 18 + (361 + 5)</p>,Wrong:<p>80 + 162 = 162 + 80</p>,Wrong:<p>3,809 = 1,449 + 1,360</p>,Wrong:<p>6200</p>,Wrong:<p>0</p>,Wrong:<p>602</p>,Wrong:<p>586</p>,Wrong:<p>826</p>,Wrong:<p>268</p>"
92,Addition properties.,<p>Which property of addition is shown in the equation: &ldquo;408 + 227 = 227 + 408&rdquo;?</p>,"Right:<p>914</p>,Wrong:<p>Identity property</p>,Wrong:<p>Associative property</p>,Wrong:<p>(1 + 9,501) + 41 = 1 + (9,501 + 41)</p>,Wrong:<p>47 + 381 = 381 + 47</p>,Wrong:<p>568 = 56 + 512</p>,Wrong:<p>9,140</p>,Wrong:<p>0</p>,Wrong:<p>9,104</p>"
93,Addition using place value chart.,<p>31 + 67 =</p>,"Right:<p>199</p>,Wrong:<p>88</p>,Wrong:<p>99</p>,Wrong:<p>97</p>,Wrong:<p>909</p>,Wrong:<p>899</p>,Wrong:<p>988</p>,Wrong:<p>888</p>,Wrong:<p>989</p>,Wrong:<p>976</p>,Wrong:<p>356</p>,Wrong:<p>157</p>,Wrong:<p>347</p>,Wrong:<p>937</p>,Wrong:<p>299</p>,Wrong:<p>919</p>"
94,Addition using place value chart.,<p>109 + 380 =</p>,"Right:<p>276</p>,Wrong:<p>498</p>,Wrong:<p>480</p>,Wrong:<p>490</p>,Wrong:<p>697</p>,Wrong:<p>556</p>,Wrong:<p>712</p>,Wrong:<p>954</p>,Wrong:<p>839</p>,Wrong:<p>109</p>,Wrong:<p>591</p>,Wrong:<p>546</p>,Wrong:<p>300</p>"
95,Addition using place value chart.,<p>456 + 241 =</p>,"Right:<p>658</p>,Wrong:<p>598</p>,Wrong:<p>447</p>,Wrong:<p>675</p>,Wrong:<p>888</p>,Wrong:<p>989</p>,Wrong:<p>898</p>,Wrong:<p>937</p>,Wrong:<p>655</p>,Wrong:<p>973</p>,Wrong:<p>937</p>,Wrong:<p>299</p>,Wrong:<p>919</p>"
96,Addition using place value chart.,<p>304 + 481 =</p>,"Right:<p>268</p>,Wrong:<p>578</p>,Wrong:<p>884</p>,Wrong:<p>515</p>,Wrong:<p>678</p>,Wrong:<p>577</p>,Wrong:<p>786</p>,Wrong:<p>376</p>,Wrong:<p>208</p>,Wrong:<p>347</p>"
97,Addition using place value chart.,<p>111 + 363 =</p>,"Right:<p>898</p>,Wrong:<p>363</p>,Wrong:<p>744</p>,Wrong:<p>546</p>,Wrong:<p>894</p>,Wrong:<p>697</p>,Wrong:<p>877</p>,Wrong:<p>356</p>,Wrong:<p>157</p>,Wrong:<p>347</p>"
98,Addition of multi digit whole numbers.,<p>31 + 67 =</p>,"Right:<p>199</p>,Wrong:<p>88</p>,Wrong:<p>99</p>,Wrong:<p>97</p>,Wrong:<p>909</p>,Wrong:<p>899</p>,Wrong:<p>988</p>,Wrong:<p>888</p>,Wrong:<p>989</p>,Wrong:<p>976</p>,Wrong:<p>356</p>,Wrong:<p>157</p>,Wrong:<p>347</p>,Wrong:<p>937</p>,Wrong:<p>299</p>,Wrong:<p>919</p>"
99,Addition of multi digit whole numbers.,<p>109 + 380 =</p>,"Right:<p>276</p>,Wrong:<p>498</p>,Wrong:<p>480</p>,Wrong:<p>490</p>,Wrong:<p>697</p>,Wrong:<p>556</p>,Wrong:<p>712</p>,Wrong:<p>954</p>,Wrong:<p>839</p>,Wrong:<p>109</p>,Wrong:<p>591</p>,Wrong:<p>546</p>,Wrong:<p>300</p>"
100,Addition of multi digit whole numbers.,<p>456 + 241 =</p>,"Right:<p>658</p>,Wrong:<p>598</p>,Wrong:<p>447</p>,Wrong:<p>675</p>,Wrong:<p>888</p>,Wrong:<p>989</p>,Wrong:<p>898</p>,Wrong:<p>937</p>,Wrong:<p>655</p>,Wrong:<p>973</p>,Wrong:<p>937</p>,Wrong:<p>299</p>,Wrong:<p>919</p>"
101,Addition of multi digit whole numbers.,<p>304 + 481 =</p>,"Right:<p>268</p>,Wrong:<p>578</p>,Wrong:<p>884</p>,Wrong:<p>515</p>,Wrong:<p>678</p>,Wrong:<p>577</p>,Wrong:<p>786</p>,Wrong:<p>376</p>,Wrong:<p>208</p>,Wrong:<p>347</p>"
102,Addition of multi digit whole numbers.,<p>111 + 363 =</p>,"Right:<p>898</p>,Wrong:<p>363</p>,Wrong:<p>744</p>,Wrong:<p>546</p>,Wrong:<p>894</p>,Wrong:<p>697</p>,Wrong:<p>877</p>,Wrong:<p>356</p>,Wrong:<p>157</p>,Wrong:<p>347</p>"
103,Rules of subtraction.,"<p>7,465 - 0 =</p>","Right:<p>35</p>,Wrong:<p>0</p>,Wrong:<p>7,460</p>,Wrong:<p>465</p>,Wrong:<p>762</p>,Wrong:<p>760</p>,Wrong:<p>1</p>,Wrong:<p>862 + 375 = 487</p>,Wrong:<p>862 &ndash; 487 = 487</p>,Wrong:<p>487 &ndash; 375 = 862</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>,Wrong:<p>743 + 364 = 379</p>,Wrong:<p>743 &ndash; 379 = 379</p>,Wrong:<p>379 &ndash; 364 = 743</p>,Wrong:<p>53</p>,Wrong:<p>52</p>,Wrong:<p>37</p>"
104,Rules of subtraction.,<p>140 - 0 =</p>,"Right:<p>0</p>,Wrong:<p>14</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>4,583</p>,Wrong:<p>4,580</p>,Wrong:<p>1</p>"
105,Rules of subtraction.,<p>95 - 0 =</p>,"Right:<p>0</p>,Wrong:<p>90</p>,Wrong:<p>0</p>,Wrong:<p>9</p>,Wrong:<p>82</p>,Wrong:<p>80</p>,Wrong:<p>1</p>"
106,Rules of subtraction.,"<p>1,398 - 0 =</p>","Right:<p>0</p>,Wrong:<p>0</p>,Wrong:<p>1,390</p>,Wrong:<p>398</p>,Wrong:<p>509</p>,Wrong:<p>500</p>,Wrong:<p>1</p>"
107,Rules of subtraction.,"<p>5,024 - 0 =</p>","Right:<p>5,024</p>,Wrong:<p>0</p>,Wrong:<p>5,020</p>,Wrong:<p>524</p>"
108,Rules of subtraction.,<p>597 &ndash; 597 =</p>,"Right:<p>0</p>,Wrong:<p>597</p>,Wrong:<p>590</p>,Wrong:<p>1</p>"
109,Subtraction of multi-digit whole numbers.,<p>397 &ndash; 9 =</p>,"Right:<p>35</p>,Wrong:<p>300</p>,Wrong:<p>400</p>,Wrong:<p>307</p>,Wrong:<p>38</p>,Wrong:<p>65</p>,Wrong:<p>40</p>,Wrong:<p>495</p>,Wrong:<p>280</p>,Wrong:<p>480</p>,Wrong:<p>729</p>,Wrong:<p>942</p>,Wrong:<p>933</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>,Wrong:<p>189</p>,Wrong:<p>408</p>,Wrong:<p>279</p>,Wrong:<p>53</p>,Wrong:<p>52</p>,Wrong:<p>37</p>"
110,Subtraction of multi-digit whole numbers.,<p>745 &ndash; 7 =</p>,"Right:<p>668</p>,Wrong:<p>390</p>,Wrong:<p>400</p>,Wrong:<p>307</p>,Wrong:<p>291</p>,Wrong:<p>297</p>,Wrong:<p>370</p>,Wrong:<p>640</p>,Wrong:<p>690</p>,Wrong:<p>579</p>"
111,Subtraction of multi-digit whole numbers.,<p>864 – 8 =</p>,"Right:<p>858</p>,Wrong:<p>64</p>,Wrong:<p>800</p>,Wrong:<p>850</p>,Wrong:<p>942</p>,Wrong:<p>924</p>,Wrong:<p>382</p>"
112,Subtraction of multi-digit whole numbers.,<p>593 &ndash; 8 =</p>,"Right:<p>559</p>,Wrong:<p>500</p>,Wrong:<p>580</p>,Wrong:<p>508</p>,Wrong:<p>641</p>,Wrong:<p>569</p>,Wrong:<p>659</p>"
113,Subtraction of multi-digit whole numbers.,<p>132 &ndash; 9 =</p>,"Right:<p>360</p>,Wrong:<p>132</p>,Wrong:<p>100</p>,Wrong:<p>120</p>,Wrong:<p>368</p>,Wrong:<p>484</p>,Wrong:<p>440</p>"
114,Solve word problems about adding multi-digit whole numbers.,"<p>Aisha has $107 to prepare for a birthday party. She wants to buy a big cake for $42, paper cups and plates for $17, and balloons for $22. How much money will be left after buying all these things?</p>","Right:<p>$26</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
115,Solve word problems about subtracting multi-digit whole numbers.,"<p>Aisha has $107 to prepare for a birthday party. She wants to buy a big cake for $42, paper cups and plates for $17, and balloons for $22. How much money will be left after buying all these things?</p>","Right:<p>$26</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
116,Extend the multiplication table to the number 10.,<p>1 &times; 10 =</p>,"Right:<p>70 بيت شعري</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>9</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>13</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>17</p>,Wrong:<p>0</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>,Wrong:<p>100 بيت شعري</p>,Wrong:<p>71 بيت شعري</p>,Wrong:<p>150 بيت شعري</p>"
117,Multiples of 10.,<p>1 &times; 10 =</p>,"Right:<p>100</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>9</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>13</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>17</p>,Wrong:<p>0</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>"
118,Multiply numbers by multiples of 10.,<p>4 &times; 40 =</p>,"Right:<p>120</p>,Wrong:<p>16</p>,Wrong:<p>44</p>,Wrong:<p>36</p>,Wrong:<p>25</p>,Wrong:<p>50</p>,Wrong:<p>2,500</p>,Wrong:<p>2,100</p>,Wrong:<p>73</p>,Wrong:<p>67</p>,Wrong:<p>90</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>150</p>,Wrong:<p>400</p>,Wrong:<p>220</p>,Wrong:<p>6 &times; 30</p>,Wrong:<p>8 &times; 80</p>,Wrong:<p>7 &times; 70</p>,Wrong:<p>9 &times; 8 = 72</p>,Wrong:<p>5 &times; 60 = 300</p>,Wrong:<p>9 &times; 5 = 45</p>,Wrong:<p>9 &times; 8 = 73</p>,Wrong:<p>80 &times; 6 = 560</p>,Wrong:<p>9 &times; 7 = 62</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>,Wrong:<p>30</p>,Wrong:<p>120</p>,Wrong:<p>150</p>,Wrong:<p>30</p>,Wrong:<p>480</p>,Wrong:<p>360</p>"
119,Multiply numbers by multiples of 10.,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>6 &times; 7</p>,Wrong:<p>6 &times; 8 = 48</p>,Wrong:<p>4 &times; 20 = 80</p>,Wrong:<p>3 &times; 8 = 24</p>,Wrong:<p>7 &times; 8 = 65</p>,Wrong:<p>20 &times; 7 = 150</p>,Wrong:<p>5 &times; 6 = 35</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
120,Multiply numbers by multiples of 10.,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>8 &times; 6 = 48</p>,Wrong:<p>11 &times; 4 = 44</p>,Wrong:<p>5 &times; 70 = 350</p>,Wrong:<p>7 &times; 2 = 14</p>,Wrong:<p>4 &times; 7 = 27</p>,Wrong:<p>30 &times; 4 = 130</p>,Wrong:<p>9 &times; 6 = 45</p>"
121,Multiply numbers by multiples of 10.,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>2 &times; 6</p>,Wrong:<p>20 &times; 5 = 100</p>,Wrong:<p>5 &times; 8 = 40</p>,Wrong:<p>4 &times; 9 = 36</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
122,Introducing fractions.,<p>There are 4 baskets. Each basket contains exactly 2 apples. What fraction represents just one apple out of all the baskets?</p>,"Right:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{6}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">6</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{4}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">4</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{2}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">2</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{3}{4}$</span><span class=""fraction non-leaf""><span class=""numerator"">3</span><span class=""denominator"">4</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{3}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">3</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{1}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">1</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{2}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">2</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>"
